Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A489026,CONFISCATE,03/18/2023,ROSCOE,DOG,5 YEARS,MED,BROWN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A489026&location=MONT,
A504446,RETURN,06/10/2023,ROCKY,OTHER,1 YEAR 1 MONTH,MED,TAN / BLACK,GUINEA PIG,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504446&location=MONT,
A501998,RETURN,04/25/2023,*SILVER,CAT,10 YEARS,MED,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501998&location=MONT,
A505490,OWNER SUR,05/30/2023,ALEX,CAT,6 YEARS,MED,BLACK,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A505490&location=MONT,
A505200,RETURN,06/01/2023,KOPI,DOG,2 YEARS,LARGE,BROWN / WHITE,GERM SHEPHERD / LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A505200&location=MONT,
A505421,OWNER SUR,05/28/2023,LALA,DOG,9 MONTHS,MED,BROWN / WHITE,SIBERIAN HUSKY,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A505421&location=MONT,
A504328,OWNER SUR,05/02/2023,GABE,OTHER,NO AGE,SMALL,WHITE / TAN,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504328&location=MONT,
A505390,OWNER SUR,05/27/2023,ROSIE,OTHER,3 YEARS,MED,BROWN / BLACK,SNAKE / PYTHON,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A505390&location=MONT,
A500928,OWNER SUR,04/23/2023,PUN,DOG,2 YEARS,MED,TAN / BLACK,AMER BULLDOG,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500928&location=MONT,
A500494,OWNER SUR,01/23/2023,MAPINGAUTI,OTHER,1 YEAR 5 MONTHS,MED,AGOUTI,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500494&location=MONT,
A505385,OWNER SUR,05/27/2023,MITTENS,CAT,1 YEAR 1 MONTH,MED,DIL TORTIE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A505385&location=MONT,
A483605,OWNER SUR,05/05/2023,MOZART,CAT,9 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A483605&location=MONT,
A505098,OWNER SUR,05/20/2023,CHIEF,DOG,1 YEAR 1 MONTH,LARGE,BROWN / WHITE,AM PIT BULL TER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A505098&location=MONT,
A406310,CONFISCATE,03/18/2023,CHARLIE,DOG,7 YEARS,MED,WHITE / BROWN,AM PIT BULL TER / BOXER,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A406310&location=MONT,
A505475,OWNER SUR,05/30/2023,VINNIE,CAT,13 YEARS,LARGE,GRAY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A505475&location=MONT,
A493947,OWNER SUR,03/16/2023,BOMA,OTHER,2 YEARS,SMALL,BLACK,RABBIT SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A493947&location=MONT,
A504573,OWNER SUR,05/07/2023,*SARA,OTHER,4 MONTHS,MED,BROWN / WHITE,GUINEA PIG,F,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504573&location=MONT,
A481006,OWNER SUR,06/05/2023,MARLEY,DOG,3 YEARS,LARGE,BLACK / TAN,GERM SHEPHERD / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A481006&location=MONT,
A499028,FOSTER,04/27/2023,SUMMER,CAT,6 YEARS,MED,GRAY TAB / WHITE,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A499028&location=MONT,
A503169,OWNER SUR,04/03/2023,BULLET,DOG,1 YEAR 9 MONTHS,LARGE,BLACK / WHITE,LABRADOR RETR,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A503169&location=MONT,
A500491,OWNER SUR,01/23/2023,SHEEPSQUASH,OTHER,1 YEAR 5 MONTHS,MED,AGOUTI,RABBIT SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A500491&location=MONT,
A504882,OWNER SUR,05/15/2023,RILEY,CAT,2 YEARS,SMALL,GRAY / WHITE,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A504882&location=MONT,
